BL-DLA-2-AUDIT — Auditoría de éxito del serializador DLA-2
Ejecutado: 2026-05-24 12:46:50
project_root: C:\desarrollo\fondos
CSV:          C:\desarrollo\fondos\proyecto1\db\dla2_serializer_audit.csv
Log:          C:\desarrollo\fondos\proyecto1\db\dla2_serializer_audit.log

======================================================================
  MODO descarga (BD + Excel maestro)
======================================================================
  Excel maestro                           : C:\data\fondos\in\GestoresDeFondosv1.xlsx
  [66/3204] FR0007435920                  : FAIL_NONE      strat=pdfplumber fmt=NONE
  [67/3204] FR0007457890                  : FAIL_NONE      strat=none fmt=NONE
  [68/3204] FR0010016477                  : FAIL_NONE      strat=pdfplumber fmt=NONE
  [69/3204] FR0010027623                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [70/3204] FR0010135103                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [71/3204] FR0010148981                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [72/3204] FR0010149120                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [73/3204] FR0010149161                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [74/3204] FR0010149179                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [75/3204] FR0010149203                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [76/3204] FR0010149302                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [77/3204] FR0010251660                  : FAIL_NONE      strat=pdfplumber fmt=NONE
  [78/3204] FR0010288316                  : WARN_NO_OC     strat=heuristic_lines fmt=PCT
  [79/3204] FR0010306142                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [80/3204] FR0010312660                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [81/3204] FR0010664052                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [82/3204] FR0010664078                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [83/3204] FR0010664086                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [84/3204] FR0010760694                  : FAIL_NONE      strat=pdfplumber fmt=NONE
  [85/3204] FR0010807123                  : FAIL_NONE      strat=none fmt=NONE
  [86/3204] FR0010820332                  : FAIL_NONE      strat=pdfplumber fmt=NONE
  [87/3204] FR0010830844                  : FAIL_NONE      strat=pdfplumber fmt=NONE
  [88/3204] FR0010830885                  : FAIL_NONE      strat=pdfplumber fmt=NONE
  [89/3204] FR0010836163                  : FAIL_NONE      strat=none fmt=NONE
  [90/3204] FR0010909531                  : FAIL_NONE      strat=none fmt=NONE
  [91/3204] FR0010917658                  : FAIL_NONE      strat=none fmt=NONE
  [92/3204] FR0011034495                  : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [93/3204] FR0011088657                  : FAIL_NONE      strat=pdfplumber fmt=NONE
  [94/3204] FR0011147446                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [95/3204] FR0011176635                  : FAIL_NONE      strat=pdfplumber fmt=NONE
  [96/3204] FR0011253624                  : FAIL_NONE      strat=none fmt=NONE
  [97/3204] FR0011261197                  : FAIL_NONE      strat=none fmt=NONE
  [98/3204] FR0011269067                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [99/3204] FR0011269588                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
